型号,Model,MT150,MT150
,,,
尺寸（长*宽*高）,Product Dimensions(mm),1960×820×1220,1960×820×1220
,,,
轴距(mm),Wheel Base(mm),1310,1310
,,,
整备质量(kg),Net Weight(kg),107,107
,,,
最大载质量(kg),Max.loading capacity(kg),150,150
,,,
座垫高度(mm),Seat cushion height(mm),835,835
,,,
,Minimum ground clearance,,
最小离地间隙(mm),,180,180
,,,
,(mm),,
,,,
油箱容量(L),Fuel Tank Capacity(L),10,10
,,,
,,,Single cylinder
发动机类型,Engine type,单缸、风冷、四冲程,
,,,
,,,cooling、Four st
,,,
排量(ml),Displacement(ml),150,150
,,,
缸径×行程(mm),Bore×Stroke(mm),62×49.5,62×49.5
,,,
压缩比,Compression ratio,9.0:1,9.0:1
,,,
最大净功率(kw/r/min),Max. Power(kw/r/min),8.2kw /8500r/min,8.2kw /8500r/min
,,,
最大扭矩(N.m/r/min),Max. Torque(N.m/r/min),9.8N.m/7500r/min,9.8N.m/7500r/min
,,,
起动方式,Starter system,电起动/脚起动,Electric/kick
,,,
点火方式,Lgnition method,C.D.I,C.D.I
,,,
制动型式（前/后）,Brake system(front/rear),碟刹/鼓刹,Disk brake/Drum
,,,
档位,Gear shift pattern,5,5
,,,
,,前轮：1.6×18,Front：1.6×18
轮辋规格,Wheel rim Size(Front/Rear),,
,,,
,,后轮：2.15×16,Rear：2.15×16
,,,
,,前轮：2.75-18,Front：2.75-18
,,,
轮胎规格（前/后）,Tire Size(Front/Rear),,
,,后轮：110/90-16,Rear：110/90-16
,,,
灯具,Lamps and lanterns,LED,LED
,,,
前减震,Front shock absorbers,阻尼减震,Damping and shoc
,,,
后减震,Back shock absorbers,弹簧减震,Spring damping
,,,
仪表,Instrument,液晶仪表,LCD instrument p
,,,
货架,Shelves,豪华大货架,Deluxe large she
,,,
传动方式,Transmission mode,链传动,Chain drive
,,,
最高速度（km/h）,Max Speed（km/h）,95,95
,,,
,Economical Fuel,,
,,,
经济油耗(L/100km),,≤2.1,≤2.1
,Consumption (L/100km),,
,,,
蓄电池型号,Battery model,12N7B-BS 干电池,12N7B-BS Dry cel
,,,
,Container loading （CKD,,
,,,
装柜数量（CKD散件打包,,,
）(PCS),Packaging of loose,210/40’HQ,210/40’HQ
,,,
,parts）(PCS),,
,,,
,Container loading （SKD,,
装柜数量（SKD整车打包,,,
,,,
）(SET),whole vehicle,126/40’HQ,126/40’HQ
,,,
,packaging）(SET),,
,,,
含税出厂价,Price,RMB:3550元,RMB:3550 yuan
